code,name,net_shares,net_amount
2610,華航,1000,18400.0
6147,頎邦,771,67597.0
6239,力成,295,56883.0
2371,大同,213,6692.0
,主動統一台股增長,119,2486.0
,主動群益科技創新,81,1089.0
3481,群創,78,1903.0
2426,鼎元,45,1767.0
2301,光寶科,43,6163.0
2409,友達,34,561.0
2324,仁寶,33,903.0
5512,力麒,32,251.0
1712,興農,30,1301.0
,第一金優選非投債,30,281.0
2887,台新新光金,29,699.0
3707,漢磊,24,1171.0
00927,群益半導體收益,22,537.0
1309,台達化,22,594.0
1504,東元,22,1297.0
6120,達運,22,281.0
,元大滬深300正2,20,375.0
2316,楠梓電,18,1706.0
2892,第一金,18,506.0
2317,鴻海,18,3396.0
5201,凱衛,17,655.0
1314,中石化,-478,-3962.0
2330,台積電,-240,-443399.0
009800,中信NASDAQ,-170,-1819.0
009816,凱基台灣TOP50,-135,-1441.0
2344,華邦電,-120,-11493.0
00919,群益台灣精選高息,-116,-2613.0
1301,台塑,-115,-5486.0
,元大美債20年,-114,-3123.0
,主動安聯台灣,-108,-1159.0
3105,穩懋,-105,-42919.0
,元大零息超長美債,-100,-863.0
2328,廣宇,-81,-3616.0
3522,御嵿,-80,-1044.0
2615,萬海,-76,-6020.0
2303,聯電,-70,-4045.0
6188,廣明,-65,-5782.0
5483,中美晶,-60,-6586.0
,國泰20年美債,-52,-1481.0
2891,中信金,-51,-2832.0
00924,復華S&P500成長,-50,-1375.0
,主動兆豐台灣豐收,-50,-498.0
8069,元太,-48,-6890.0
,主動野村台灣50,-45,-726.0
1815,富喬,-45,-4819.0
2449,京元電子,-44,-11655.0
