code,name,weight,shares
2441,超豐,2.44,8498000
3264,欣銓,3.32,7246000
6257,矽格,2.75,6567000
1785,光洋科,0.9,4698000
3036,文曄,2.61,4620000
2316,楠梓電,1.39,4279000
2606,裕民,0.87,4200000
2421,建準,1.56,3311000
2428,興勤,1.81,3164000
4958,臻鼎-KY,1.62,2691000
2449,京元電子,2.49,2579000
5536,聖暉*,5.28,2470000
6139,亞翔,3.72,2185000
5439,高技,1.75,1997000
5425,台半,0.33,1770000
2330,台積電,8.87,1470000
9938,百和,0.23,1461000
3231,緯創,0.52,1261000
2472,立隆電,0.44,1223000
6177,達麗,0.18,1200350
6274,台燿,1.95,1179000
2885,元大金,0.16,1117420
2481,強茂,0.3,1028000
2360,致茂,4.04,873000
8299,群聯,5.01,854000
8358,金居,0.68,781000
2345,智邦,3.15,729000
2308,台達電,3.07,705000
8210,勤誠,1.64,574000
3324,雙鴻,1.91,553000
3017,奇鋐,2.96,548000
3491,昇達科,2.88,547000
2383,台光電,3.39,466000
2451,創見,0.31,464000
2454,聯發科,2.61,449000
3665,貿聯-KY,2.01,438136
6669,緯穎,5.52,435000
2327,國巨*,0.37,419000
8996,高力,1.02,378000
2404,漢唐,1.23,373000
3376,新日興,0.24,360000
1319,東陽,0.11,360000
3711,日月光投控,0.41,359000
6805,富世達,1.57,295000
5289,宜鼎,0.77,295000
6223,旺矽,2.4,280000
7769,鴻勁,3.52,263000
3008,大立光,1.28,170000
2368,金像電,0.38,158000
8464,億豐,0.17,144000
8046,南電,0.17,104000
6446,藥華藥,0.21,100583
4441,振大環球,0.04,60000
2059,川湖,0.6,57000
6768,志強-KY,0.01,41000
2548,華固,0.01,29600
3529,力旺,0.18,23000
5274,信驊,0.17,6000
3706,神達,0.0,1400
3443,創意,0.01,1000
2886,兆豐金,0.0,1000
7722,LINEPAY,0.0,1000
1519,華城,0.0,600
2881,富邦金,0.0,250
