code,name,weight,shares,price
2883,凱基金控,2.1,5428000,30.75
2618,長榮航,1.7,3168000,42.55
2891,中信金,2.57,2837000,71.9
2885,元大金,2.13,2489000,68.0
6116,彩晶,0.55,2323000,18.8
2882,國泰金,2.76,1899000,115.5
2303,聯電,3.29,1796000,145.5
2881,富邦金控,2.86,1642025,138.0
5876,上海商銀,0.86,1603000,42.5
3045,台灣大,2.36,1576000,119.0
2412,中華電,2.04,1124000,144.0
2603,長榮海運,2.39,982000,193.0
2382,廣達,3.83,810000,376.0
6182,合晶,1.21,802000,120.0
1102,亞泥,0.36,796000,35.8
3481,群創光電,0.63,771000,64.4
5871,中租-KY,0.93,644000,114.0
3702,大聯大,0.91,642000,112.0
4938,和碩,0.64,609000,82.9
3036,文曄,1.48,527000,222.5
2426,鼎元,0.51,494000,81.8
8069,元太,1.09,425000,204.0
2347,聯強,0.43,368000,93.4
3090,日電貿,1.45,346000,332.5
6173,信昌電陶,1.34,336000,316.0
6592,和潤企業,0.27,330000,65.3
3034,聯詠,2.13,327000,516.0
2393,億光,0.28,319000,70.6
2486,一詮精密,1.06,303000,276.5
3706,神達投資控股,0.31,282000,86.9
8064,東捷,0.55,280000,156.0
2357,華碩,2.72,274000,789.0
6147,頎邦,0.84,263000,252.0
8039,台虹科技,0.45,248000,145.5
2474,可成,0.6,236000,202.5
2464,盟立,0.47,217000,172.0
2472,立隆,1.09,215000,402.0
4919,新唐科技,0.52,209000,196.5
2912,統一超商,0.57,201000,223.5
8021,尖點,1.23,180000,543.0
2548,華固,0.23,179000,103.5
2451,創見,0.69,177000,311.5
1736,喬山健康,0.25,167000,119.5
2377,微星,0.29,167000,138.5
2645,長榮航太,0.35,162000,170.0
3006,晶豪,0.48,162000,237.5
9939,宏全國際,0.27,160000,134.0
8358,金居開發,1.37,155000,700.0
2327,國巨*,2.11,155000,1080.0
3189,景碩科技,1.4,154000,724.0
6451,訊芯-KY,0.98,139000,561.0
4991,環宇-KY,0.99,139000,566.0
2467,志聖,0.97,129000,599.0
2376,技嘉,0.55,127000,344.0
6285,啟碁科技,0.43,125000,274.0
3026,禾伸堂,1.41,124000,902.0
6890,來億-KY,0.35,116000,238.0
3293,鈊象,1.14,114000,793.0
8261,富鼎,0.3,109000,215.0
2606,裕民,0.08,106000,61.5
2006,東和鋼鐵,0.09,105000,69.5
9910,豐泰,0.1,105000,72.6
2049,上銀科技,0.43,102000,335.0
3167,大量,1.03,100000,820.0
3037,欣興,1.18,97000,968.0
2455,全新,0.49,94000,416.0
6715,嘉基,0.54,91000,471.5
6274,台燿,2.1,91000,1835.0
2330,台積電,2.67,88000,2410.0
3227,原相,0.25,87000,225.0
6187,萬潤科技,1.32,85000,1235.0
3264,欣銓,0.25,84000,232.5
6196,帆宣,0.55,77000,567.0
6670,復盛應用,0.27,75000,287.5
3105,穩懋,0.5,75000,528.0
3592,瑞鼎,0.24,70000,275.0
8081,致新,0.28,70000,319.0
2404,漢唐,1.12,70000,1265.0
6176,瑞儀光電,0.08,68000,87.9
6121,新普科技,0.36,68000,417.5
3005,神基科技,0.09,67000,101.5
6197,佳必琪,0.29,66000,347.5
2385,群光,0.08,55000,114.0
4766,南寶,0.26,55000,372.0
6831,邁科,0.52,53000,773.0
2360,致茂,1.43,49000,2310.0
2313,華通,0.15,47000,259.5
5434,崇越,0.26,43000,475.5
3596,智易科技,0.09,37000,191.5
3711,日月光投控,0.29,37000,613.0
1795,美時製藥,0.09,36000,193.0
5904,寶雅,0.27,34000,625.0
6531,愛普科技,0.43,33000,1025.0
1477,聚陽,0.09,32000,221.5
3081,聯亞光電,0.89,29000,2440.0
2454,聯發科,1.38,25000,4390.0
2383,台光電子,1.76,25000,5600.0
2368,金像電子,0.32,19000,1355.0
5269,祥碩科技,0.31,17000,1455.0
7750,新代,0.48,16000,2370.0
2345,智邦,0.46,15000,2435.0
6223,旺矽,1.21,15000,6415.0
1560,中砂,0.12,14000,700.0
2308,台達電子,0.38,14000,2150.0
3131,弘塑科技,0.53,12000,3520.0
8210,勤誠興業,0.17,10000,1365.0
6409,旭隼,0.11,9000,926.0
7734,印能科技,0.41,9000,3615.0
5274,信驊科技,1.91,8000,18960.0
6446,藥華醫藥,0.09,7000,1060.0
3017,奇鋐,0.18,6000,2400.0
3443,創意電子,0.37,6000,4860.0
8996,高力,0.08,4000,1590.0
6515,穎崴,0.48,4000,9450.0
7769,鴻勁,0.26,3000,6975.0
202607TX,台指期貨,2.28,19,0.0
