code,name,weight,shares,price
2455,全新,2.37,2753000,369.0
6584,南俊國際,2.84,2204000,606.0
3037,欣興,4.37,2097000,960.0
2303,聯電,0.6,2000000,141.5
3105,穩懋,2.04,1949000,493.0
2330,台積電,8.7,1706000,2375.0
8996,高力,4.78,1630000,1255.0
3711,日月光投控,2.05,1629000,590.0
2327,國巨*,3.16,1566000,940.0
8021,尖點,1.65,1501000,506.0
2337,旺宏,0.47,1343000,159.0
6187,萬潤,2.95,1220000,1140.0
3017,奇鋐,5.08,1009000,2410.0
2345,智邦,5.23,977000,2430.0
3665,貿聯-KY,4.3,955000,2265.0
2368,金像電,2.7,945000,1320.0
8046,南電,1.38,718000,860.0
3583,辛耘,0.98,566000,817.0
2383,台光電,6.12,563000,5030.0
8299,群聯,2.24,445000,2375.0
3189,景碩,0.6,440013,660.0
2454,聯發科,3.93,406000,4470.0
7751,竑騰,1.15,375000,1445.0
3260,威剛,0.32,358000,417.0
2308,台達電,1.63,344000,2210.0
6223,旺矽,4.46,326000,6445.0
3443,創意,3.25,311000,4815.0
3363,上詮,0.45,300000,707.0
2059,川湖,4.14,293000,6960.0
3661,世芯-KY,2.4,262000,4250.0
3008,大立光,2.68,260000,4420.0
6139,亞翔,0.43,250000,885.0
3653,健策,1.72,214000,3835.0
2360,致茂,0.99,200000,2265.0
6515,穎崴,3.06,145000,9925.0
6805,富世達,0.4,109000,1735.0
5289,宜鼎,0.41,98000,1955.0
7769,鴻勁,1.42,91000,7205.0
3264,欣銓,0.03,72000,220.0
7734,印能科技,0.38,56000,3220.0
3491,昇達科,0.0,1000,1570.0
