code,name,weight,shares,price
2884,玉山金融控股,1.58,5569622,34.0
2891,中國信託金融控股,2.34,5447000,51.4
2344,華邦電子,2.13,2385000,106.5
2317,鴻海精密工業,3.87,2073000,223.0
2881,富邦金融控股,1.53,2057575,88.8
2027,大成不銹鋼工業,0.58,1834000,37.7
3231,緯創資通,1.61,1470000,130.5
4915,致伸科技,0.76,1202000,75.6
3036,文曄科技,1.95,1079000,215.5
2382,廣達電腦,2.42,1001000,289.0
3264,欣銓科技,1.16,969000,143.0
2408,南亞科技,1.49,764000,233.0
2330,台灣積體電路製造,9.22,583000,1890.0
2449,京元電子,1.38,578000,284.5
3044,健鼎科技,1.34,425000,378.0
2308,台達電子工業,4.38,396000,1320.0
2368,金像電子（股）公司,2.51,378000,792.0
1477,聚陽實業,0.95,369000,308.0
5234,達興材料,1.13,344000,392.0
6274,台燿科技,1.43,338000,504.0
2376,技嘉科技,0.61,334000,219.0
3526,凡甲科技,0.76,324000,280.5
5434,崇越科技,0.81,294000,328.5
8210,勤誠興業,2.09,266000,939.0
2379,瑞昱半導體,0.95,244000,463.0
2454,聯發科技,3.19,216000,1765.0
6584,南俊國際,0.66,209000,376.5
2345,智邦科技,2.55,208000,1465.0
3017,奇鋐科技,3.1,201000,1845.0
2327,國巨,0.44,198000,265.0
3665,貿聯控股（BizLink Holding In,2.72,183336,1770.0
5904,寶雅國際,0.76,181450,502.0
2360,致茂電子,1.94,169000,1375.0
3293,鈊象電子,0.99,166000,716.0
8996,高力熱處理工業,1.07,165000,777.0
1519,華城電機,0.98,126000,926.0
2383,台光電子材料,2.43,123000,2360.0
6805,富世達,1.71,111000,1845.0
1590,亞德客國際集團,0.79,91000,1040.0
8299,群聯電子,1.33,90000,1770.0
7769,鴻勁精密,3.03,86000,4215.0
2059,川湖科技,2.2,82000,3205.0
6669,緯穎科技服務,2.72,77000,4215.0
6223,旺矽科技,1.76,71000,2965.0
6442,光紅建聖,1.13,71000,1895.0
3653,健策精密工業,1.89,66000,3415.0
4749,新應材,0.48,57000,1015.0
3443,創意電子,1.0,50000,2385.0
6515,穎崴科技,1.63,37000,5250.0
6510,中華精測科技,0.77,25000,3695.0
