code,name,weight,shares
2884,玉山金融控股,1.58,5569622
2891,中國信託金融控股,2.46,5447000
2344,華邦電子,2.36,2385000
2317,鴻海精密工業,4.06,2073000
2881,富邦金融控股,1.56,2057575
2027,大成不銹鋼工業,0.55,1834000
3231,緯創資通,1.61,1470000
4915,致伸科技,0.79,1202000
3036,文曄科技,1.6,1079000
2382,廣達電腦,2.35,1001000
3264,欣銓科技,1.23,969000
2408,南亞科技,1.76,764000
2330,台灣積體電路製造,9.38,583000
2449,京元電子,1.52,578000
3044,健鼎科技,1.34,425000
2308,台達電子工業,4.57,396000
2368,金像電子（股）公司,2.52,378000
1477,聚陽實業,0.95,369000
5234,達興材料,1.18,344000
6274,台燿科技,1.49,338000
2376,技嘉科技,0.65,334000
3526,凡甲科技,0.77,324000
5434,崇越科技,0.83,294000
8210,勤誠興業,1.97,266000
2379,瑞昱半導體,0.95,244000
2454,聯發科技,3.39,216000
6584,南俊國際,0.72,209000
2345,智邦科技,2.35,208000
3017,奇鋐科技,2.86,201000
2327,國巨,0.48,198000
3665,貿聯控股（BizLink Holding In,2.08,183336
5904,寶雅國際,0.74,181450
2360,致茂電子,1.88,169000
3293,鈊象電子,0.93,166000
8996,高力熱處理工業,1.17,165000
1519,華城電機,1.09,126000
2383,台光電子材料,2.42,123000
6805,富世達,1.53,111000
1590,亞德客國際集團,0.88,91000
8299,群聯電子,1.37,90000
7769,鴻勁精密,3.37,86000
2059,川湖科技,2.28,82000
6669,緯穎科技服務,2.48,77000
6223,旺矽科技,1.69,71000
6442,光紅建聖,1.23,71000
3653,健策精密工業,1.66,66000
4749,新應材,0.42,57000
3443,創意電子,1.12,50000
6515,穎崴科技,1.53,37000
6510,中華精測科技,0.76,25000
