code,name,weight,shares,price
2303,聯電,2.71,7000000,178.5
2455,全新,2.26,2753000,388.5
6584,南俊國際,3.73,2231000,708.0
3037,欣興,4.83,2097000,1020.0
6182,合晶,0.56,2000000,119.5
8996,高力,5.27,1630000,1460.0
3711,日月光投控,2.43,1629000,641.0
2327,國巨*,3.75,1566000,1125.0
8021,尖點,1.9,1501000,557.0
2330,台積電,7.77,1406000,2390.0
2337,旺宏,0.52,1343000,161.5
6187,萬潤,3.1,1220000,1075.0
3017,奇鋐,5.37,1009000,2505.0
2345,智邦,5.49,977000,2380.0
3105,穩懋,0.97,966000,424.0
3665,貿聯-KY,4.18,955000,1920.0
2368,金像電,2.09,745000,1240.0
3583,辛耘,1.09,566000,850.0
2383,台光電,6.99,563000,5640.0
8299,群聯,2.43,445000,2310.0
3189,景碩,0.83,440013,812.0
2454,聯發科,3.72,406000,4310.0
3008,大立光,4.24,380000,5165.0
7751,竑騰,1.19,372000,1350.0
3260,威剛,0.34,358000,397.5
6223,旺矽,5.0,326000,6500.0
3443,創意,3.25,311000,4850.0
3363,上詮,0.41,300000,575.0
2059,川湖,4.84,293000,7315.0
6139,亞翔,0.52,250000,875.0
3661,世芯-KY,1.97,215000,4230.0
6515,穎崴,2.8,145000,9100.0
6805,富世達,0.42,109000,1750.0
5289,宜鼎,0.37,98000,1605.0
3264,欣銓,0.04,72000,214.5
7734,印能科技,0.4,56000,3045.0
2360,致茂,0.24,50000,2185.0
3491,昇達科,0.0,1000,1230.0
