code,name,weight,shares,price
ACHR US,阿徹航空公司,0.69,40714,0.0
RXRX US,利可迅生技公司,0.37,33889,0.0
BMNR US,BitMine Immersion Technologi,2.04,27323,0.0
TEM US,Tempus AI Inc,6.79,27020,0.0
NTLA US,英特利亞治療公司,1.03,26915,0.0
CRSP US,CRISPR治療公司,3.9,21782,0.0
TXG US,10X Genomics Inc,4.85,20167,0.0
CERS US,Cerus公司,0.16,19350,0.0
BLSH US,Bullish,2.11,19336,0.0
BEAM US,光束治療公司,1.4,18142,0.0
CRCL US,Circle Internet Group Inc,4.63,17399,0.0
XE US,X-Energy Inc,0.77,15126,0.0
HOOD US,羅賓漢市場公司,4.36,12709,0.0
SPCX US,太空探索科技公司,6.14,12688,0.0
TWST US,Twist Bioscience Corp,5.14,10576,0.0
SHOP US,Shopify公司,3.94,9799,0.0
SOFI US,SoFi Technologies Inc,0.43,8160,0.0
TSLA US,特斯拉公司,8.72,7613,0.0
COIN US,比特幣基地全球公司,4.02,7397,0.0
XYZ US,布洛克公司,1.69,7090,0.0
PLTR US,帕蘭提爾科技公司,3.53,6407,0.0
WGS US,GeneDx控股公司,1.63,4975,0.0
KTOS US,克瑞拓斯安全防衛公司,0.73,4883,0.0
CRWV US,CoreWeave Inc,1.1,4387,0.0
NVDA US,輝達,2.25,3287,0.0
AMZN US,亞馬遜公司,2.43,3097,0.0
ILMN US,伊魯米納公司,1.82,2372,0.0
AMD US,超微半導體公司,3.17,1859,0.0
NTRA US,那提拉公司,2.09,1827,0.0
TSM US,台積電,2.37,1765,0.0
CBRS US,Cerebras Systems Inc,1.0,1655,0.0
SNOW US,Snowflake公司,1.64,1550,0.0
GOOG US,Alphabet公司 Class C,1.42,1323,0.0
VCYT US,Veracyte公司,0.14,1140,0.0
NET US,Cloudflare公司,1.17,1123,0.0
AVGO US,博通公司,0.88,807,0.0
GOOGL US,Alphabet公司 Class A,0.79,732,0.0
TER US,泰瑞達公司,0.54,491,0.0
DE US,迪爾,0.97,451,0.0
META US,Meta平台公司,0.68,320,0.0
LLY US,禮來公司,1.04,290,0.0
BWXT US,BWX科技股份有限公司,0.05,108,0.0
