code,name,weight,shares,price
2891,中國信託金融控股,2.02,4000000,56.2
2881,富邦金融控股,2.51,2964000,94.5
2330,台灣積體電路製造,28.45,1372000,2310.0
2344,華邦電子,1.37,1336000,114.0
2412,中華電信,0.68,561000,135.5
4904,遠傳電信,0.46,539000,95.4
3711,日月光投資控股,2.51,518000,540.0
1477,聚陽實業,0.86,433000,220.5
1216,統一企業,0.24,378000,69.4
6789,采鈺科技,1.97,378000,581.0
6415,矽力杰,0.98,256000,424.5
2408,南亞科技,0.57,221000,287.0
3189,景碩科技,0.92,209000,492.5
2368,金像電子（股）公司,2.49,191000,1450.0
6488,環球晶圓,1.35,190000,793.0
2059,川湖科技,6.65,153000,4840.0
2474,可成科技,0.26,139000,206.0
8046,南亞電路板,1.14,134000,947.0
7769,鴻勁精密,6.71,128000,5835.0
6781,AES Holding Co Ltd,1.32,127000,1155.0
2308,台達電子工業,2.44,119000,2280.0
2317,鴻海精密工業,0.27,117000,253.5
2395,研華,0.41,104000,444.0
2360,致茂電子,2.09,100000,2325.0
8996,高力熱處理工業,0.93,96000,1075.0
3017,奇鋐科技,1.97,91000,2415.0
8299,群聯電子,1.72,80000,2390.0
6805,富世達,1.33,77000,1920.0
2345,智邦科技,1.52,66000,2560.0
6442,光紅建聖,1.2,64000,2095.0
4749,新應材,0.51,57000,987.0
4958,臻鼎科技控股,0.2,53000,427.0
2454,聯發科技,1.44,47000,3420.0
3105,穩懋半導體,0.18,41000,500.0
3665,貿聯控股（BizLink Holding In,1.02,41000,2780.0
6669,緯穎科技服務,1.8,41000,4880.0
3661,世芯電子,1.68,39000,4795.0
3529,力旺電子,1.56,37000,4705.0
2383,台光電子材料,1.65,37000,4960.0
3293,鈊象電子,0.22,34000,720.0
3653,健策精密工業,1.15,33000,3875.0
8210,勤誠興業,0.37,32000,1290.0
6223,旺矽科技,1.35,30000,5030.0
3264,欣銓科技,0.06,26000,248.5
6239,力成科技,0.05,25000,230.5
3533,嘉澤端子工業,0.49,19000,2850.0
2382,廣達電腦,0.04,14000,344.0
6515,穎崴科技,0.89,10000,9860.0
3037,欣興電子,0.05,6000,896.0
1519,華城電機,0.04,5000,891.0
