code,name,weight,shares,price
1402,遠東新,2.08,7040000,28.65
2618,長榮航,2.58,5919000,41.8
2845,遠東銀行,0.8,5656094,13.45
5876,上海商銀,2.75,5496000,47.9
1102,亞泥,1.86,5128000,35.45
2542,興富發,1.71,3571000,46.5
2633,台灣高鐵,0.82,3057000,26.0
2897,王道銀行,0.34,3028000,10.8
1409,新纖,0.69,2720000,25.15
4763,材料*-KY,1.2,2382000,48.35
3045,台灣大,2.96,2373000,120.0
6548,長科*,1.45,2010000,70.0
1326,台化,1.43,1980000,71.3
5871,中租-KY,2.19,1908840,112.5
2903,遠百,0.41,1770000,22.5
1229,聯華實業,0.7,1678000,41.75
2006,東和鋼鐵,1.34,1579000,81.2
2603,長榮海運,3.69,1526000,231.0
1907,永豐餘,0.38,1283000,29.15
1808,潤隆,0.41,1159000,34.4
2520,冠德,0.41,1084000,36.75
1303,南亞,2.57,1063000,244.0
9933,中鼎,0.43,994619,40.35
5904,寶雅*,0.67,902000,72.3
2851,中央再保,0.42,855000,45.65
6177,達麗,0.41,839000,47.5
2344,華邦電子,1.42,801000,179.5
3264,欣銓,1.89,797000,230.5
7780,大研生醫*,0.12,705000,16.55
2303,聯電,0.99,685000,142.5
8415,大國鋼,0.23,635000,35.55
2464,盟立,1.18,606000,193.5
2615,萬海,0.68,592000,110.5
5351,鈺創,0.65,585000,108.5
5534,長虹,0.38,505000,74.5
2301,光寶科技,1.27,446000,291.0
9802,鈺齊-KY,0.3,445000,66.0
6005,群益證券,0.14,444876,31.6
2408,南亞科,2.24,441000,515.0
6592,和潤企業,0.24,387000,60.0
3234,光環,0.72,372000,187.5
6214,精誠資訊,0.71,367000,187.5
2379,瑞昱,2.63,362000,696.0
6139,亞翔工程,2.12,290000,753.0
2351,順德,0.67,278000,235.5
4967,十銓,0.72,249000,276.5
6213,聯茂,1.3,248000,519.0
2850,新光產險,0.4,242000,157.5
3006,晶豪,0.7,235000,312.0
2467,志聖,1.26,221000,575.0
8039,台虹科技,0.59,211000,275.0
3711,日月光投控,1.32,207000,650.0
2395,研華,1.38,199000,659.0
3450,聯鈞,0.96,182000,523.0
6446,藥華醫藥,2.38,180424,1320.0
3037,欣興,1.79,178000,994.0
3532,台勝科,0.77,177000,410.0
3189,景碩科技,1.48,175000,827.0
3260,威剛科技,0.68,165000,402.5
6187,萬潤科技,2.12,165000,1250.0
2330,台積電,4.05,162000,2450.0
6173,信昌電陶,0.48,160000,290.0
8021,尖點,0.67,155000,438.0
5880,合作金庫,0.04,154150,26.85
6426,統新,0.47,151000,322.0
6584,南俊國際,0.87,149000,567.0
2455,全新,0.76,144000,532.0
6670,復盛應用,0.39,136000,276.0
3044,健鼎科技,0.71,135000,503.0
5306,桂盟,0.11,122000,93.0
4958,臻鼎-KY,0.6,117000,494.5
8046,南電,1.21,109000,1070.0
1560,中砂,0.59,73000,733.0
6669,緯穎,1.68,70741,2345.0
2357,華碩,0.65,68000,989.0
3374,精材,0.32,67000,463.5
2313,華通,0.15,66000,225.5
2885,元大金,0.03,44880,69.7
3017,奇鋐,1.53,44000,3460.0
2404,漢唐,0.37,36000,1060.0
2383,台光電子,1.99,36000,5375.0
3665,貿聯-KY,0.62,32000,1930.0
4123,晟德,0.01,30842,30.25
7750,新代,0.6,29000,2215.0
3008,大立光電,1.65,24000,6720.0
2059,川湖,2.61,21000,12600.0
2546,根基,0.02,19560,103.5
3653,健策,1.13,19000,5790.0
3443,創意電子,0.88,14000,6225.0
6274,台燿,0.1,7000,1365.0
3661,世芯-KY,0.26,7000,4055.0
2454,聯發科,0.28,6000,4720.0
6531,愛普科技,0.04,4000,1030.0
6223,旺矽,0.17,3000,5620.0
5289,宜鼎國際,0.02,1355,1295.0
5274,信驊科技,0.22,1200,17885.0
1795,美時製藥,0.0,572,177.0
202609TX,台指期貨,2.37,24,0.0
