code,name,weight,shares
2441,超豐,2.42,8347000
3264,欣銓,3.55,7129000
6257,矽格,2.69,6458000
1785,光洋科,0.91,4619000
3036,文曄,2.6,4557000
2316,楠梓電,1.32,4207000
2606,裕民,0.86,4200000
2421,建準,1.54,3255000
2428,興勤,1.76,3114000
4958,臻鼎-KY,1.56,2691000
2449,京元電子,2.6,2538000
5536,聖暉*,5.15,2470000
6139,亞翔,3.66,2157000
5439,高技,1.99,1963000
5425,台半,0.34,1770000
2472,立隆電,0.54,1523000
9938,百和,0.25,1461000
2330,台積電,9.04,1445000
3231,緯創,0.54,1255000
6177,達麗,0.19,1200350
6274,台燿,2.04,1172000
2885,元大金,0.16,1117420
2481,強茂,0.28,1028000
2360,致茂,2.95,860000
8299,群聯,5.17,854000
8358,金居,0.69,781000
2345,智邦,3.45,729000
2308,台達電,2.86,694000
8210,勤誠,1.82,572000
3324,雙鴻,1.92,552000
3491,昇達科,2.5,547000
3017,奇鋐,2.83,540000
2451,創見,0.33,460000
2383,台光電,3.29,459000
2454,聯發科,2.72,449000
3665,貿聯-KY,1.95,438136
6669,緯穎,5.15,422000
2327,國巨*,0.34,412000
8996,高力,1.12,378000
2404,漢唐,1.12,373000
3376,新日興,0.23,360000
1319,東陽,0.12,360000
3711,日月光投控,0.41,353000
6805,富世達,1.49,295000
5289,宜鼎,0.69,290000
6223,旺矽,2.55,280000
7769,鴻勁,3.73,263000
3008,大立光,1.27,170000
2368,金像電,0.42,156000
8464,億豐,0.19,144000
8046,南電,0.14,104000
6446,藥華藥,0.24,100583
4441,振大環球,0.05,60000
2059,川湖,0.54,55000
6768,志強-KY,0.01,41000
2548,華固,0.01,29600
3529,力旺,0.15,23000
5274,信驊,0.19,6000
3706,神達,0.0,1400
3443,創意,0.01,1000
2886,兆豐金,0.0,1000
7722,LINEPAY,0.0,1000
1519,華城,0.0,600
2881,富邦金,0.0,250
