code,name,weight,shares,price
1303,南亞,1.55,15336000,89.2
2327,國巨*,3.47,10251000,260.0
1326,台化,0.46,8827000,44.6
3037,欣興,4.18,6505000,549.0
1802,台玻,0.44,5996000,61.7
2449,京元電子,2.05,5886000,288.0
2368,金像電,6.08,5600000,909.0
2002,中鋼,0.11,4926000,19.15
8046,南電,3.0,4656000,566.0
2308,台達電,7.34,4309000,1360.0
2330,台積電,9.44,4265000,1845.0
3711,日月光投控,1.72,4258000,337.5
6191,精成科,0.41,3399000,99.4
2345,智邦,5.22,3034000,1390.0
3017,奇鋐,5.8,2572000,1830.0
2383,台光電,7.75,2427000,2585.0
3665,貿聯-KY,4.62,2243848,1645.0
8358,金居,0.58,1864000,263.0
8210,勤誠,1.94,1857000,888.0
3264,欣銓,0.33,1789000,157.0
6139,亞翔,1.17,1704000,570.0
6488,環球晶,0.91,1700000,450.5
3211,順達,0.57,1576000,307.0
1319,東陽,0.15,1501000,85.0
6274,台燿,0.87,1463000,505.0
3376,新日興,0.38,1425000,216.5
6223,旺矽,5.79,1366000,3580.0
3189,景碩,0.53,1310000,337.0
2408,南亞科,0.42,1305000,261.5
3653,健策,5.72,1297000,3390.0
4979,華星光,0.52,1115000,395.0
6805,富世達,1.41,682000,1750.0
6510,精測,2.64,590000,3775.0
3661,世芯-KY,2.22,589000,3125.0
2404,漢唐,0.63,573000,964.0
2454,聯發科,1.0,486000,1710.0
3217,優群,0.07,355000,157.0
8996,高力,0.34,315000,925.0
5274,信驊,3.42,255000,11320.0
6515,穎崴,1.94,248000,6160.0
3324,雙鴻,0.2,158000,1050.0
6669,緯穎,0.69,146000,4005.0
3533,嘉澤,0.22,100000,1685.0
3008,大立光,0.02,7000,2305.0
2439,美律,0.0,5000,84.1
2357,華碩,0.0,5000,589.0
3045,台灣大,0.0,5000,108.0
3583,辛耘,0.0,5000,405.5
2059,川湖,0.02,4000,3320.0
2313,華通,0.0,4000,221.0
5536,聖暉*,0.0,4000,667.0
1815,富喬,0.0,2000,108.0
8299,群聯,0.0,1000,1945.0
