code,name,weight,shares,price
SNAP,SNAP INC - A,0.39,30619,0.0
RIVN,RIVIAN AUTOMOTIVE INC-A,1.06,29311,0.0
NU,NU HOLDINGS LTD/CAYMAN ISL-A,0.79,27049,0.0
LUMN,LUMEN TECHNOLOGIES INC,0.6,24588,0.0
INTC,INTEL CORP,4.46,17535,0.0
HOOD,ROBINHOOD MARKETS INC - A,2.12,10156,0.0
WRBY,WARBY PARKER INC-CLASS A,0.55,10140,0.0
FIGR,FIGURE TECHNOLOGY SOLUT-CL A,0.77,9813,0.0
GFS,GLOBALFOUNDRIES INC,1.57,8856,0.0
ZM,ZOOM COMMUNICATIONS INC,1.79,7943,0.0
NVDA,NVIDIA CORP,3.71,7930,0.0
ON,ON SEMICONDUCTOR,2.1,7865,0.0
TEM,TEMPUS AI INC,0.76,6837,0.0
SATS,ECHOSTAR CORP-A,1.95,6821,0.0
LMND,LEMONADE INC,0.84,6553,0.0
TTWO,TAKE-TWO INTERACTIVE SOFTWRE,3.19,6427,0.0
AMKR,AMKOR TECHNOLOGY INC,0.97,6316,0.0
GOOG,ALPHABET INC-CL C,5.13,6153,0.0
ALGM,ALLEGRO MICROSYSTEMS INC,0.64,6017,0.0
LRCX,LAM RESEARCH CORP,3.82,5412,0.0
PANW,PALO ALTO NETWORKS INC,3.12,5001,0.0
ORCL,ORACLE CORP,2.37,4737,0.0
ENTG,ENTEGRIS INC,1.42,4618,0.0
DOCN,DIGITALOCEAN HOLDINGS INC,1.59,4588,0.0
SHOP,SHOPIFY INC - CLASS A,1.14,4346,0.0
XYZ,BLOCK INC,0.73,4336,0.0
TWLO,TWILIO INC - A,1.77,4194,0.0
AVGO,BROADCOM INC,3.84,3874,0.0
NET,CLOUDFLARE INC - CLASS A,2.01,3749,0.0
GLW,CORNING INC,1.48,3690,0.0
TSLA,TESLA INC,3.26,3378,0.0
SYM,SYMBOTIC INC,0.34,3346,0.0
AMD,ADVANCED MICRO DEVICES,3.35,2928,0.0
SNOW,SNOWFLAKE INC-CLASS A,1.63,2875,0.0
BABA,ALIBABA GROUP HOLDING-SP ADR,0.77,2782,0.0
TXN,TEXAS INSTRUMENTS INC,1.53,2257,0.0
MXL,MAXLINEAR INC,0.45,2197,0.0
CIEN,CIENA CORP,2.59,2010,0.0
BE,BLOOM ENERGY CORP- A,1.27,2007,0.0
MSFT,MICROSOFT CORP,1.95,1951,0.0
CRCL,CIRCLE INTERNET GROUP INC,0.46,1826,0.0
TSM,TAIWAN SEMICONDUCTOR-SP ADR,1.69,1825,0.0
TTMI,TTM TECHNOLOGIES,0.69,1780,0.0
VICR,VICOR CORP,1.26,1704,0.0
META,META PLATFORMS INC-CLASS A,2.31,1647,0.0
CRWD,CROWDSTRIKE HOLDINGS INC - A,2.52,1553,0.0
MTSI,MACOM TECHNOLOGY SOLUTIONS H,1.19,1478,0.0
PLTR,PALANTIR TECHNOLOGIES INC-A,0.46,1330,0.0
AMZN,AMAZON.COM INC,0.75,1243,0.0
CDNS,CADENCE DESIGN SYS INC,0.98,1178,0.0
ADI,ANALOG DEVICES INC,1.07,1171,0.0
APP,APPLOVIN CORP-CLASS A,1.34,987,0.0
MU,MICRON TECHNOLOGY INC,1.83,848,0.0
ROK,ROCKWELL AUTOMATION INC,0.83,832,0.0
SNPS,SYNOPSYS INC,0.81,766,0.0
ASML,ASML HOLDING NV-NY REG SHS,2.63,737,0.0
LITE,LUMENTUM HOLDINGS INC,1.29,682,0.0
FN,FABRINET,0.83,575,0.0
SNDK,SANDISK CORP-W/I,2.08,553,0.0
CBRS,CEREBRAS SYSTEMS INC - A,0.18,350,0.0
