code,name,weight,shares,price
2408,南亞科,2.34,2432000,200.5
5347,世界,1.29,2277000,121.0
8358,金居,1.97,1728000,243.5
3105,穩懋,3.26,1716000,407.0
3037,欣興,3.36,1277000,519.0
2486,一詮,0.83,1230000,149.0
3036,文曄,1.01,947000,224.0
8046,南電,2.5,858000,568.0
2330,台積電,7.0,806000,1810.0
8996,高力,3.02,715000,866.0
3163,波若威,3.3,676000,1045.0
2337,旺宏,0.43,671000,129.0
2344,華邦電,0.28,663000,91.8
8021,尖點,0.71,569920,242.5
6584,南俊國際,1.58,566000,596.0
2345,智邦,4.01,531000,1590.0
4749,新應材,1.99,526000,811.0
4991,環宇-KY,1.12,511000,470.5
3189,景碩,0.77,457013,336.0
8299,群聯,3.18,434000,1570.0
2360,致茂,2.71,370000,1535.0
3017,奇鋐,3.51,370000,2070.0
6531,愛普*,0.81,367000,440.0
3533,嘉澤,3.25,343000,2045.0
2383,台光電,4.35,323000,2785.0
6442,光聖,3.03,310000,2000.0
7751,竑騰,2.44,285000,1830.0
3711,日月光投控,0.39,236000,361.0
3260,威剛,0.39,231000,363.0
6274,台燿,0.73,230000,683.0
2368,金像電,0.98,227000,905.0
6805,富世達,1.89,219000,1885.0
6781,AES-KY,0.89,198000,957.0
6223,旺矽,3.59,196000,3920.0
2059,川湖,2.83,191000,3345.0
3081,聯亞,1.73,185000,2005.0
2449,京元電子,0.21,166000,259.0
6669,緯穎,2.31,146000,3410.0
6510,精測,2.21,142000,3325.0
7769,鴻勁,2.66,142000,3835.0
2308,台達電,0.96,135000,1430.0
6515,穎崴,3.68,111000,6605.0
3665,貿聯-KY,0.93,100000,1915.0
3653,健策,1.76,100000,3710.0
3324,雙鴻,0.4,93000,918.0
5289,宜鼎,0.41,90000,978.0
3131,弘塑,1.28,87000,3150.0
3491,昇達科,0.54,71000,1640.0
3529,力旺,0.87,67000,2795.0
3443,創意,0.73,66000,2320.0
3661,世芯-KY,0.75,59000,2705.0
5274,信驊,1.55,29000,11470.0
